Years,CO2,CH4,NOx
1881,3270.2007066666665,84.359461,6.6759474
1882,3155.76811,87.226893,6.7294913
1883,3228.5646066666664,90.094326,6.7830353
1884,3252.8017499999996,92.961758,6.8365793
1885,3271.5323666666663,95.829191,6.8901232
1886,3293.1951066666666,98.696624,6.9436672
1887,3340.931513333333,101.56406,6.9972112
1888,3453.0230166666665,104.43149,7.0507551
1889,3447.4006966666666,107.29892,7.1042991
1890,3548.4317366666664,110.16635,7.1578431
1891,3601.5779799999996,111.52362,7.2358632
1892,3656.36766,112.88089,7.3138833
1893,3646.145433333333,114.23816,7.3919035
1894,3752.3463266666663,115.59543,7.4699236
1895,3851.5344999999998,116.9527,7.5479437
1896,3906.0207633333334,118.30997,7.6259638
1897,3995.068403333333,119.66724,7.703984
1898,4092.0035566666666,121.02451,7.7820041
1899,4250.416316666666,122.38178,7.8600242
1900,4353.089656666666,123.73905,7.9380443
1901,4601.45829,124.8415,8.0441379
1902,4652.90331,125.94396,8.1502315
1903,4926.793483333333,127.04642,8.2563251
1904,5031.741843333333,128.14887,8.3624187
1905,5253.655733333332,129.25133,8.4685123
1906,5512.957376666666,130.35378,8.5746059
1907,5821.796676666666,131.45624,8.6806995
1908,5725.180156666666,132.5587,8.7867931
1909,5875.386219999999,133.66115,8.8928867
1910,6016.932826666667,134.76361,8.9989803
1911,5921.2781466666665,135.96943,9.0569588
1912,5965.110909999999,137.17525,9.1149373
1913,6108.592453333333,138.38107,9.1729159
1914,5737.56887,139.5869,9.2308944
1915,5660.415309999999,140.79272,9.288873
1916,5900.093723333333,141.99854,9.3468515
1917,6109.386396666667,143.20436,9.4048301
1918,6051.11562,144.41019,9.4628086
1919,5594.065913333333,145.61601,9.5207871
1920,6062.039023333333,146.82183,9.5787657
1921,5721.527533333333,147.86155,9.6457029
1922,5840.783263333333,148.90128,9.7126402
1923,6318.723326666666,149.941,9.7795774
1924,6306.155460000001,150.98072,9.8465147
1925,6354.65798,152.02045,9.9134519
1926,6396.43862,153.06017,9.9803892
1927,6817.00371,154.09989,10.047326
1928,6837.128503333332,155.13962,10.114264
1929,7220.49537,156.17934,10.181201
1930,7145.892416666666,157.21906,10.248138
1931,6758.9163033333325,158.34545,10.302469
1932,6083.82852,159.47183,10.356801
1933,6239.157759999999,160.59821,10.411132
1934,6489.496016666667,161.7246,10.465463
1935,6679.624416666667,162.85098,10.519794
1936,7081.433076666666,163.97736,10.574125
1937,7291.896406666667,165.10375,10.628457
1938,7054.234806666666,166.23013,10.682788
1939,7228.62712,167.35651,10.737119
1940,7574.718689999999,168.4829,10.79145
1941,7642.670126666666,170.03046,11.123415
1942,7740.515566666667,171.57803,11.45538
1943,7900.8072,173.12559,11.787344
1944,7888.461679999999,174.67315,12.119309
1945,7073.54043,176.22072,12.451274
1946,7627.212706666666,177.76828,12.783238
1947,8294.659779999998,179.31584,13.115203
1948,8595.144946666665,180.86341,13.447168
1949,8437.463503333334,182.41097,13.779132
1950,9248.560383333333,183.95853,14.111097
1951,10473.907033333333,189.11003,14.528488
1952,10654.005266666667,194.26153,14.945879
1953,10800.229366666666,199.41303,15.36327
1954,11062.852533333333,204.56453,15.780661
1955,11858.680166666667,209.71603,16.198052
1956,12549.8571,214.86753,16.615443
1957,12986.863266666665,220.01902,17.032834
1958,13381.799566666667,225.17052,17.450225
1959,13440.517566666666,230.32202,17.867616
1960,13820.705433333333,235.47352,18.285007
1961,14073.846599999999,238.52217,18.959141
1962,14430.429566666666,241.57083,19.633274
1963,15005.080566666666,244.61948,20.307407
1964,15618.488966666664,247.66813,20.981541
1965,16167.271266666667,250.71679,21.655674
1966,16861.888266666665,253.76544,22.329807
1967,17264.9598,256.81409,23.003941
1968,17685.07693333333,259.86274,23.678074
1969,18474.088966666666,262.9114,24.352208
1970,19334.747299999995,265.96005,25.026341
1971,19440.268099999998,270.02505,25.809673
1972,19968.894366666664,274.09004,26.593006
1973,20783.0282,278.15504,27.376338
1974,20836.7027,282.22003,28.159671
1975,20704.154533333334,286.28503,28.943004
1976,21903.228233333335,290.35002,29.726336
1977,22450.9538,294.41502,30.509669
1978,22716.356666666667,298.48002,31.293001
1979,23656.279899999998,302.54501,32.076334
1980,23309.768533333332,306.61001,32.859666
1981,22780.49436666667,310.01251,33.357242
1982,23163.820166666665,313.415,33.854818
1983,23230.240366666665,316.8175,34.352393
1984,24016.9721,320.22,34.849969
1985,24637.597966666664,323.6225,35.347545
1986,25289.741766666666,327.025,35.845121
1987,25839.03153333333,330.42749,36.342696
1988,26695.990933333334,333.82999,36.840272
1989,27179.6932,337.23249,37.337848
1990,27366.105433333334,340.63499,37.835424
1991,27925.25963333333,336.59218,37.868111
1992,27212.278133333333,332.54937,37.900799
1993,27214.368866666664,328.50656,37.933487
1994,27615.850533333334,324.46375,37.966174
1995,28039.03813333333,320.42094,37.998862
1996,28457.37583333333,316.37814,38.03155
1997,28736.1789,312.33533,38.064237
1998,28610.424699999996,308.29252,38.096925
1999,28423.227066666666,304.24971,38.129612
2000,28907.26666666667,300.2069,38.1623
2001,29435.633333333335,303.4092,38.2888
2002,29995.899999999998,306.5788,38.4153
2003,31209.566666666662,309.7164,38.5418
2004,32687.6,312.824,38.6684
2005,33610.49999999999,315.9027,38.7948
2006,34137.76666666666,320.0614,38.883
2007,34663.2,324.2127,38.97
2008,35181.78913333333,328.34943,39.054433
2009,35700.37753333333,332.48617,39.138867
2010,36218.96666666667,336.6229,39.2233
2011,36359.253333333334,328.6374,38.96192
2012,36499.54,320.6519,38.70054
2013,36639.82666666667,312.6664,38.43916
2014,36780.11333333333,304.6809,38.17778
2015,36920.4,296.6954,37.9164
2016,37060.68666666666,288.7099,37.65502
2017,37200.973333333335,280.7244,37.39364
2018,37341.26,272.7389,37.13226
2019,37481.54666666666,264.7534,36.87088
2020,37621.833333333336,256.7679,36.6095
2021,36773.11,254.65433,36.10504
2022,35924.386666666665,252.54076,35.60058
2023,35075.66333333334,250.42719,35.09612
2024,34226.939999999995,248.31362,34.59166
2025,33378.21666666666,246.20005,34.0872
2026,32529.493333333332,244.08648,33.58274
2027,31680.769999999997,241.97291,33.07828
2028,30832.046666666665,239.85934,32.57382
2029,29983.323333333334,237.74577,32.06936
2030,29134.6,235.6322,31.5649
2031,28063.236666666664,234.57183,31.40904
2032,26991.873333333337,233.51146,31.25318
2033,25920.51,232.45109,31.09732
2034,24849.146666666667,231.39072,30.94146
2035,23777.783333333336,230.33035,30.7856
2036,22706.42,229.26998,30.62974
2037,21635.056666666667,228.20961,30.47388
2038,20563.693333333336,227.14924,30.31802
2039,19492.329999999998,226.08887,30.16216
2040,18420.966666666667,225.0285,30.0063
2041,17820.696666666663,221.45546,29.89599
2042,17220.426666666666,217.88242,29.78568
2043,16620.156666666666,214.30938,29.67537
2044,16019.886666666667,210.73634,29.56506
2045,15419.616666666667,207.1633,29.45475
2046,14819.346666666666,203.59026,29.34444
2047,14219.076666666666,200.01722,29.23413
2048,13618.806666666665,196.44418,29.12382
2049,13018.536666666667,192.87114,29.01351
2050,12418.266666666666,189.2981,28.9032
2051,11922.386666666665,187.01509,28.73251
2052,11426.506666666666,184.73208,28.56182
2053,10930.626666666665,182.44907,28.39113
2054,10434.746666666666,180.16606,28.22044
2055,9938.866666666667,177.88305,28.04975
2056,9442.986666666666,175.60004,27.87906
2057,8947.106666666667,173.31703,27.70837
2058,8451.226666666666,171.03402,27.53768
2059,7955.346666666665,168.75101,27.36699
2060,7459.466666666667,166.468,27.1963
2061,6953.283333333333,165.95204,26.8771
2062,6447.1,165.43608,26.5579
2063,5940.916666666666,164.92012,26.2387
2064,5434.733333333334,164.40416,25.9195
2065,4928.549999999999,163.8882,25.6003
2066,4422.366666666666,163.37224,25.2811
2067,3916.183333333333,162.85628,24.9619
2068,3410.0,162.34032,24.6427
2069,2903.8166666666666,161.82436,24.3235
2070,2397.633333333333,161.3084,24.0043
2071,2200.77,160.68516,23.66643
2072,2003.9066666666665,160.06192,23.32856
2073,1807.0433333333333,159.43868,22.99069
2074,1610.1799999999998,158.81544,22.65282
2075,1413.3166666666666,158.1922,22.31495
2076,1216.4533333333334,157.56896,21.97708
2077,1019.5899999999995,156.94572,21.63921
2078,822.7266666666666,156.32248,21.30134
2079,625.8633333333329,155.69924,20.96347
2080,429.0,155.076,20.6256
2081,287.833333333333,154.41227,20.41927
2082,146.6666666666663,153.74854,20.21294
2083,5.499999999999633,153.08481,20.00661
2084,-135.6666666666663,152.42108,19.80028
2085,-276.833333333333,151.75735,19.59395
2086,-417.9999999999996,151.09362,19.38762
2087,-559.1666666666663,150.42989,19.18129
2088,-700.3333333333329,149.76616,18.97496
2089,-841.4999999999995,149.10243,18.76863
2090,-982.6666666666663,148.4387,18.5623
2091,-1038.2166666666667,147.8001,18.30502
2092,-1093.7666666666667,147.1615,18.04774
2093,-1149.3166666666666,146.5229,17.79046
2094,-1204.8666666666666,145.8843,17.53318
2095,-1260.4166666666665,145.2457,17.2759
2096,-1315.9666666666667,144.6071,17.01862
2097,-1371.5166666666667,143.9685,16.76134
2098,-1427.0666666666666,143.3299,16.50406
2099,-1482.6166666666666,142.6913,16.24678
2100,-1538.1666666666665,142.0527,15.9895
2101,-1613.1573333333329,142.0527,15.9895
2102,-1688.148,142.0527,15.9895
2103,-1763.1386666666663,142.0527,15.9895
2104,-1838.129333333333,142.0527,15.9895
2105,-1913.12,142.0527,15.9895
2106,-1988.1106666666662,142.0527,15.9895
2107,-2063.101333333333,142.0527,15.9895
2108,-2138.0919999999996,142.0527,15.9895
2109,-2213.0826666666662,142.0527,15.9895
2110,-2288.0733333333333,142.0527,15.9895
2111,-2363.064,142.0527,15.9895
2112,-2438.0546666666664,142.0527,15.9895
2113,-2513.045333333333,142.0527,15.9895
