Years,CO2,CH4,NOx
2398,-3412.933333333333,142.0527,15.9895
2399,-3412.933333333333,142.0527,15.9895
2400,-3412.933333333333,142.0527,15.9895
2401,-3412.933333333333,142.0527,15.9895
2402,-3412.933333333333,142.0527,15.9895
2403,-3412.933333333333,142.0527,15.9895
2404,-3412.933333333333,142.0527,15.9895
2405,-3412.933333333333,142.0527,15.9895
2406,-3412.933333333333,142.0527,15.9895
2407,-3412.933333333333,142.0527,15.9895
2408,-3412.933333333333,142.0527,15.9895
2409,-3412.933333333333,142.0527,15.9895
2410,-3412.933333333333,142.0527,15.9895
2411,-3412.933333333333,142.0527,15.9895
2412,-3412.933333333333,142.0527,15.9895
2413,-3412.933333333333,142.0527,15.9895
2414,-3412.933333333333,142.0527,15.9895
2415,-3412.933333333333,142.0527,15.9895
2416,-3412.933333333333,142.0527,15.9895
2417,-3412.933333333333,142.0527,15.9895
2418,-3412.933333333333,142.0527,15.9895
2419,-3412.933333333333,142.0527,15.9895
2420,-3412.933333333333,142.0527,15.9895
2421,-3412.933333333333,142.0527,15.9895
2422,-3412.933333333333,142.0527,15.9895
2423,-3412.933333333333,142.0527,15.9895
2424,-3412.933333333333,142.0527,15.9895
2425,-3412.933333333333,142.0527,15.9895
2426,-3412.933333333333,142.0527,15.9895
2427,-3412.933333333333,142.0527,15.9895
2428,-3412.933333333333,142.0527,15.9895
2429,-3412.933333333333,142.0527,15.9895
2430,-3412.933333333333,142.0527,15.9895
2431,-3412.933333333333,142.0527,15.9895
2432,-3412.933333333333,142.0527,15.9895
2433,-3412.933333333333,142.0527,15.9895
2434,-3412.933333333333,142.0527,15.9895
2435,-3412.933333333333,142.0527,15.9895
2436,-3412.933333333333,142.0527,15.9895
2437,-3412.933333333333,142.0527,15.9895
2438,-3412.933333333333,142.0527,15.9895
2439,-3412.933333333333,142.0527,15.9895
2440,-3412.933333333333,142.0527,15.9895
2441,-3412.933333333333,142.0527,15.9895
2442,-3412.933333333333,142.0527,15.9895
2443,-3412.933333333333,142.0527,15.9895
2444,-3412.933333333333,142.0527,15.9895
2445,-3412.933333333333,142.0527,15.9895
2446,-3412.933333333333,142.0527,15.9895
2447,-3412.933333333333,142.0527,15.9895
2448,-3412.933333333333,142.0527,15.9895
2449,-3412.933333333333,142.0527,15.9895
2450,-3412.933333333333,142.0527,15.9895
2451,-3412.933333333333,142.0527,15.9895
2452,-3412.933333333333,142.0527,15.9895
2453,-3412.933333333333,142.0527,15.9895
2454,-3412.933333333333,142.0527,15.9895
2455,-3412.933333333333,142.0527,15.9895
2456,-3412.933333333333,142.0527,15.9895
2457,-3412.933333333333,142.0527,15.9895
2458,-3412.933333333333,142.0527,15.9895
2459,-3412.933333333333,142.0527,15.9895
2460,-3412.933333333333,142.0527,15.9895
2461,-3412.933333333333,142.0527,15.9895
2462,-3412.933333333333,142.0527,15.9895
2463,-3412.933333333333,142.0527,15.9895
2464,-3412.933333333333,142.0527,15.9895
2465,-3412.933333333333,142.0527,15.9895
2466,-3412.933333333333,142.0527,15.9895
2467,-3412.933333333333,142.0527,15.9895
2468,-3412.933333333333,142.0527,15.9895
2469,-3412.933333333333,142.0527,15.9895
2470,-3412.933333333333,142.0527,15.9895
2471,-3412.933333333333,142.0527,15.9895
2472,-3412.933333333333,142.0527,15.9895
2473,-3412.933333333333,142.0527,15.9895
2474,-3412.933333333333,142.0527,15.9895
2475,-3412.933333333333,142.0527,15.9895
2476,-3412.933333333333,142.0527,15.9895
2477,-3412.933333333333,142.0527,15.9895
2478,-3412.933333333333,142.0527,15.9895
2479,-3412.933333333333,142.0527,15.9895
2480,-3412.933333333333,142.0527,15.9895
2481,-3412.933333333333,142.0527,15.9895
2482,-3412.933333333333,142.0527,15.9895
2483,-3412.933333333333,142.0527,15.9895
2484,-3412.933333333333,142.0527,15.9895
2485,-3412.933333333333,142.0527,15.9895
2486,-3412.933333333333,142.0527,15.9895
2487,-3412.933333333333,142.0527,15.9895
2488,-3412.933333333333,142.0527,15.9895
2489,-3412.933333333333,142.0527,15.9895
2490,-3412.933333333333,142.0527,15.9895
2491,-3412.933333333333,142.0527,15.9895
2492,-3412.933333333333,142.0527,15.9895
2493,-3412.933333333333,142.0527,15.9895
2494,-3412.933333333333,142.0527,15.9895
2495,-3412.933333333333,142.0527,15.9895
2496,-3412.933333333333,142.0527,15.9895
2497,-3412.933333333333,142.0527,15.9895
2498,-3412.933333333333,142.0527,15.9895
2499,-3412.933333333333,142.0527,15.9895
2500,-3412.933333333333,142.0527,15.9895
