Year,CO2,CH4,NOx
1892,3656.36766,112.88089,24.03133084
1893,3646.145433,114.23816,24.28768293
1894,3752.346327,115.59543,24.54403469
1895,3851.5345,116.9527,24.80038644
1896,3906.020763,118.30997,25.0567382
1897,3995.068403,119.66724,25.31309029
1898,4092.003557,121.02451,25.56944204
1899,4250.416317,122.38178,25.8257938
1900,4353.089657,123.73905,26.08214556
1901,4601.45829,124.8415,26.43073881
1902,4652.90331,125.94396,26.77933207
1903,4926.793483,127.04642,27.12792533
1904,5031.741843,128.14887,27.47651859
1905,5253.655733,129.25133,27.82511184
1906,5512.957377,130.35378,28.1737051
1907,5821.796677,131.45624,28.52229836
1908,5725.180157,132.5587,28.87089161
1909,5875.38622,133.66115,29.21948487
1910,6016.932827,134.76361,29.56807813
1911,5921.278147,135.96943,29.75857891
1912,5965.11091,137.17525,29.9490797
1913,6108.592453,138.38107,30.13958081
1914,5737.56887,139.5869,30.3300816
1915,5660.41531,140.79272,30.52058271
1916,5900.093723,141.99854,30.7110835
1917,6109.386397,143.20436,30.90158461
1918,6051.11562,144.41019,31.0920854
1919,5594.065913,145.61601,31.28258619
1920,6062.039023,146.82183,31.4730873
1921,5721.527533,147.86155,31.69302381
1922,5840.783263,148.90128,31.91296066
1923,6318.723327,149.941,32.13289717
1924,6306.15546,150.98072,32.35283401
1925,6354.65798,152.02045,32.57277053
1926,6396.43862,153.06017,32.79270737
1927,6817.00371,154.09989,33.01264257
1928,6837.128503,155.13962,33.23258171
1929,7220.49537,156.17934,33.45251757
1930,7145.892417,157.21906,33.67245343
1931,6758.916303,158.34545,33.85096957
1932,6083.82852,159.47183,34.029489
1933,6239.15776,160.59821,34.20800514
1934,6489.496017,161.7246,34.38652129
1935,6679.624417,162.85098,34.56503743
1936,7081.433077,163.97736,34.74355357
1937,7291.896407,165.10375,34.922073
1938,7054.234807,166.23013,35.10058914
1939,7228.62712,167.35651,35.27910529
1940,7574.71869,168.4829,35.45762143
1941,7642.670127,170.03046,36.54836357
1942,7740.515567,171.57803,37.63910571
1943,7900.8072,173.12559,38.72984457
1944,7888.46168,174.67315,39.82058671
1945,7073.54043,176.22072,40.91132886
1946,7627.212707,177.76828,42.00206771
1947,8294.65978,179.31584,43.09280986
1948,8595.144947,180.86341,44.183552
1949,8437.463503,182.41097,45.27429086
1950,9248.560383,183.95853,46.365033
1951,10473.90703,189.11003,47.73646057
1952,10654.00527,194.26153,49.10788814
1953,10800.22937,199.41303,50.47931571
1954,11062.85253,204.56453,51.85074329
1955,11858.68017,209.71603,53.22217086
1956,12549.8571,214.86753,54.59359843
